Titre,Description,Lien,Image SRC
2023 : la PNH ou le bilan d’un verre à moitié rempli,"La Police nationale d'Haïti (PNH), en dépit de la progression des bandes armées, du nombre élevé d’homicides et des cas de kidnapping, reste un rempart.",/article/246463/2023-la-pnh-ou-le-bilan-dun-verre-a-moitie-rempli,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
"Nouvelle journée de tension, au moins trois morts et plusieurs blessés à Jérémie","Trois jeunes hommes Mackendy ainsi connu, Litherné Raymond (27 ans), Jackson Doll (25 ans) ont été tués par balle dans la matinée du lundi 22 janvier 2024.",/article/246471/nouvelle-journee-de-tension-au-moins-trois-morts-et-plusieurs-blesses-a-jeremie,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Reprise officielle des activités de la Primature à la Villa d’Accueil,"Certains le voyaient comme un fait divers, mais le gouvernement en a fait tout un événement.",/article/246469/reprise-officielle-des-activites-de-la-primature-a-la-villa-daccueil,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Stage d'acclimatation pour les petites Grenadières au Mexique,"Avant le coup d’envoi de sa première rencontre, prévue le 1er février prochain face au Costa Rica dans le cadre du championnat féminin de la Concacaf qui servira de qualification pour la Coupe du monde, la sélection féminine haïtienne des moins de 17 ans, forte d’une délégation de 25 personnes, laissant Port-au-Prince le lundi 22 janvier dans la matinée, est arrivée dans l’après-midi du même jour au Mexique en vue d’effectuer un stage d’acclimatation.",/article/246468/stage-dacclimatation-pour-les-petites-grenadieres-au-mexique,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
"Attaques armées et images de peyi lòk à Port-au-Prince, manifestations en province",Port-au-Prince s’est réveillée sous tension ce jeudi 18 janvier 2024.,/article/246403/attaques-armees-et-images-de-peyi-lok-a-port-au-prince-manifestations-en-province,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
"Le mouvement de mobilisation anti-gouvernemental est une action interne au pouvoir, selon Liné Balthazar","Le président du PHTK, Liné Balthazar, estime que le mouvement de mobilisation anti-gouvernemental qui a démarré la semaine écoulée émane d’une branche du gouvernement incarnée par la Brigade de surveillance des aires protégées (BSAP).",/article/246470/le-mouvement-de-mobilisation-anti-gouvernemental-est-une-action-interne-au-pouvoir-selon-line-balthazar,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
De la PNH et des FADH en 2024,Le premier ministre Ariel Henry a rendu deux visites très remarquées au haut état-major des Forces Armées d'Haïti (FADH) dans les premiers jours du mois de janvier 2024.,/article/246472/de-la-pnh-et-des-fadh-en-2024,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Détournement au CNE: l'ex-député Cholzer Chancy sous les verrous,"Le juge instructeur Al Duniel Dimanche a ordonné la mise en dépôt de Cholzer Chancy, ancien président de la Chambre basse après son audition ce lundi 22 janvier dans le cadre de l'enquête sur le détournement de biens publics au Centre national des équipements (CNE).",/article/246467/detournement-au-cne-lex-depute-cholzer-chancy-sous-les-verrous,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Le pape demande la libération des six religieuses enlevées à Port-au-Prince,"Le pape François a appelé dimanche à la libération d'un groupe de huit personnes, dont six religieuses, enlevées en Haïti, pays ravagé par la violence des gangs.",/article/246446/le-pape-demande-la-liberation-des-six-religieuses-enlevees-a-port-au-prince,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Port-de-Paix : nouvelle vague de kidnapping sur la route nationale #5,"Depuis le début de l'année 2024, la nationale #5, cet axe routier qui relie le carrefour Joffe à Port-de-Paix, connaît une nouvelle vague d'enlèvements, une vraie menace pour la vie des voyageurs et toute autre personne empruntant cette route.",/article/246445/port-de-paix-nouvelle-vague-de-kidnapping-sur-la-route-nationale-5,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Maryse Narcisse plaide pour un exécutif à deux têtes et supporte les mouvements de protestation contre Ariel Henry,"Alors que le Premier ministre Ariel Henry cherche à avoir un accord politique pour passer le cap du 7 février 2024, les responsables des principales organisations politiques de l’opposition affirment qu’ils ne sont pas en discussion avec le chef de la Primature.",/article/246462/maryse-narcisse-plaide-pour-un-executif-a-deux-tetes-et-supporte-les-mouvements-de-protestation-contre-ariel-henry,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Ron DeSantis abandonne la course à la Maison Blanche et soutiendra Trump,"Le gouverneur de Floride Ron DeSantis, un temps perçu comme le principal rival de Donald Trump sur sa route vers l'investiture républicaine, a annoncé dimanche jeter l'éponge et se rallier derrière le milliardaire en vue de la présidentielle de novembre.",/article/246449/ron-desantis-abandonne-la-course-a-la-maison-blanche-et-soutiendra-trump,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
"« Un accord politique n'est pas nécessairement une condition préalable pour le déploiement de la MMAS », selon Maria Isabel Salvador","L’accord politique souhaité par la communauté internationale depuis l’assassinat de l’ex-président Jovenel Moïse n’est pas obligatoire en vue du déploiement de la Mission multinationale d’appui à la sécurité (MMAS), c’est ce qu’a soutenu Maria Isabel Salvador, représentante spéciale du secrétaire général des Nations unies en Haïti et cheffe du Bureau intégré des Nations unies en Haïti (BINUH), à la  réunion du Comité ad hoc consultatif restreint sur la situation en Haïti, le 18 janvier 2024. À cette réunion, Mme Salvador a évoqué la situation de la Police nationale d’Haïti (PNH) et les mises en place à faire en prévision de l’arrivée de la MMAS.",/article/246434/un-accord-politique-nest-pas-necessairement-une-condition-prealable-pour-le-deploiement-de-la-mmas-selon-maria-isabel-salvador,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Sanctions onusiennes: le panel des experts en mission à Port-au-Prince,Les quatre membres du panel des experts des Nations-Unies sur les sanctions ont séjourné en Haïti cette semaine.,/article/246443/sanctions-onusiennes-le-panel-des-experts-en-mission-a-port-au-prince,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Augmentation des plaies par balle dans les hôpitaux,"Comme à chaque période de grandes turbulences politiques ces dernières années, les gangs armés ont fait parler la poudre, entraînant une nette augmentation des plaies par balle dans les principaux hôpitaux de l'aire métropolitaine de Port-au-Prince.",/article/246436/augmentation-des-plaies-par-balle-dans-les-hopitaux,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Haïti n'a pas besoin de nouvelles promesses,Les troubles des derniers jours confirment combien la situation en Haïti est explosive.,/article/246444/haiti-na-pas-besoin-de-nouvelles-promesses,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Six religieuses de la Congrégation des sœurs de Ste-Anne enlevées à Port-au-Prince,"Alors qu’elles se trouvaient dans un autobus, six religieuses de la Congrégation des sœurs de Ste-Anne et d’autres occupants du véhicule ont été enlevées le vendredi 19 janvier à Port-au-Prince.",/article/246425/six-religieuses-de-la-congregation-des-soeurs-de-ste-anne-enlevees-a-port-au-prince,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Maria Isabel Salvador dresse le portrait des prisons haïtiennes à la réunion de l’Organisation internationale de la francophonie,"Maria Isabel Salvador, représentante spéciale du secrétaire général des Nations unies en Haïti et cheffe du Bureau intégré des Nations unies en Haïti (BINUH), a évoqué, à la réunion du Comité ad hoc consultatif restreint sur la situation en Haïti de l’Organisation internationale de la francophonie (OIF), le jeudi 18 janvier 2024, la situation carcérale à l’approche d’un éventuel déploiement de la Mission multinationale d’appui à la sécurité (MMAS). Dans son intervention Mme Salvador a dressé le portrait d’un secteur pénitentiaire en crise et souvent « invisibilisé ».",/article/246435/maria-isabel-salvador-dresse-le-portrait-des-prisons-haitiennes-a-la-reunion-de-lorganisation-internationale-de-la-francophonie,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
La société du Rhum Barbancourt part en guerre contre la contrefaçon,"Suite à la découverte de plusieurs bouteilles du Rhum Barbancourt trois étoiles issues de la contrefaçon sur le marché, la société du Rhum Barbancourt a présenté, le vendredi 19 janvier 2024, lors d’une conférence de presse, les résultats de ses analyses sur ce produit contrefait qui se relève en dehors des normes et des standards internationaux.",/article/246438/la-societe-du-rhum-barbancourt-part-en-guerre-contre-la-contrefacon,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Le MENFP s’associe avec des fédérations sportives pour encourager la pratique du sport en milieu scolaire,"Le ministère de l’Éducation nationale et de la Formation professionnelle (MENFP) a signé trois protocoles d’accord avec les Fédérations haïtiennes de football, de basketball et de volley-ball, le vendredi 19 janvier 2024, au local de l’Inspection générale de l’Éducation nationale, à Musseau. Cette cérémonie, qui s’est déroulée en présence du ministre de l’Éducation nationale, Nesmy Manigat, et de représentants desdites fédérations, rentre dans le cadre des efforts déployés par le MENFP pour valoriser le sport dans les écoles.",/article/246430/le-menfp-sassocie-avec-des-federations-sportives-pour-encourager-la-pratique-du-sport-en-milieu-scolaire,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
« Haïti-Louisiane: les Marées de la Liberté »,"Au 113 de la rue Chartres, Nouvelle-Orléans, ce vendredi 12 janvier 2024, les tambours du groupe RAM résonnent.",/article/246428/haiti-louisiane-les-marees-de-la-liberte,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Lol Fest Caraïbes 2024 vous attend !,Le Festival international du rire (LolFestCarïbes) revient en Haïti pour son édition 2024. Il se tiendra à Port-au-Prince du 19 au 21 janvier.,/article/246432/lol-fest-caraibes-2024-vous-attend,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
C’est parti pour la 17e édition du PaPJazz,"Le festival international de jazz de Port-au-Prince (PaPJazz) a été officiellement lancé le jeudi 18 janvier 2024 par la Fondation Haïti Jazz, son organisateur. Cette grande manifestation culturelle qui se déroulera dans la capitale haïtienne du 25 au 28 janvier sera l’occasion pour des artistes de sept pays différents de faire connaissance avec les amoureux du jazz en Haïti.",/article/246433/cest-parti-pour-la-17e-edition-du-papjazz,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Solidarité en Haïti et dans le monde pour réclamer la libération de Douglas Pape,"Douglas Pape, le fils du docteur Jean William Pape, enlevé depuis le 28 novembre dernier, est encore aux mains de ses ravisseurs malgré plusieurs rançon versées. De nombreuses voix, en Haïti et à l’étranger ne cessent d’exiger sa libération.",/article/246421/solidarite-en-haiti-et-dans-le-monde-pour-reclamer-la-liberation-de-douglas-pape,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
L’OEA exclut toute possibilité d’une « transition dans la transition » et souhaite un accord national,"La 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti convoquée par la secrétaire générale de l’OIF a été l’occasion de débattre des perspectives pour une sortie de crise. Présent à cette réunion qui s’est tenue au pavillon d’Armenonville de Paris, Cristobal Dupouy, représentant spécial du secrétaire général de l’Organisation des États américains (OEA) en Haïti a présenté l’analyse et les perspectives de l’OEA pour une résolution de la crise en Haïti.",/article/246405/loea-exclut-toute-possibilite-dune-transition-dans-la-transition-et-souhaite-un-accord-national,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Dans l’attente de la réponse du gouvernement,Plusieurs départements du pays se sont réveillés en effervescence cette semaine.,/article/246422/dans-lattente-de-la-reponse-du-gouvernement,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Nicolas Delépine: « On est là pour marquer l'histoire »,"Le sélectionneur national des Grenadières n'a pas caché ses ambitions en conférence de presse d'avant match, vendredi 21 juillet. Nicolas  Delépine a clairement dit qu'il souhaite marquer l'histoire avec les Grenadières en faisant "" une autre première fois "" avec Haïti dans cette phase finale de Coupe du monde.",/article/243517/nicolas-delepine-on-est-la-pour-marquer-lhistoire,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Titre non trouvé,Description non trouvée,Lien non trouvé,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
L'administration Biden autorisée à retirer des barbelés installés par le Texas à la frontière,Description non trouvée,/a-la-minute,image non trouvée
titre non trouvée,Description non trouvée,https://lenouvelliste.com/article/246472/de-la-pnh-et-des-fadh-en-2024,image non trouvée
De la PNH et des FADH en 2024,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Ron DeSantis abandonne la course à la Maison Blanche et soutiendra Trump,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Reprise officielle des activités de la Primature à la Villa d’Accueil,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Port-de-Paix : nouvelle vague de kidnapping sur la route nationale #5,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Détournement au CNE: l'ex-député Cholzer Chancy sous les verrous,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
"Le mouvement de mobilisation anti-gouvernemental est une action interne au pouvoir, selon Liné Balthazar",Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Maryse Narcisse plaide pour un exécutif à deux têtes et supporte les mouvements de protestation contre Ariel Henry,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Reprise officielle des activités de la Primature à la Villa d’Accueil,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Port-de-Paix : nouvelle vague de kidnapping sur la route nationale #5,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
« Haïti-Louisiane: les Marées de la Liberté »,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Sanctions onusiennes: le panel des experts en mission à Port-au-Prince,Description non trouvée,lien non trouvée,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
